"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.352683433E0,-1.832192093E-1,-2.000918388E-1,4.456996918E-2,2.749409114E-1
1.357688356E0,-2.800682187E-2,-1.591739655E-1,1.270294189E-2,1.621175440E-1
1.362693279E0,-2.685362101E-2,-1.562285423E-1,1.189136505E-2,1.589650243E-1
1.367698126E0,-1.021850109E-1,-1.145493984E-1,1.113319397E-2,1.539067547E-1
1.372703054E0,-2.502153516E-1,-1.857049465E-1,5.551147461E-2,3.165052498E-1
1.377677284E0,-2.476848662E-1,-1.838154793E-1,5.494022369E-2,3.132959488E-1
1.382682131E0,-1.301361769E-1,-1.039237976E-1,5.409526825E-2,1.751053349E-1
1.387687059E0,-1.276503652E-1,-1.009933949E-1,5.325603485E-2,1.712614574E-1
1.392692059E0,-2.397529781E-1,-2.261757851E-2,9.456253052E-2,2.587182203E-1
1.397696895E0,-2.364768982E-1,-1.999354362E-2,9.378337860E-2,2.551791278E-1
1.402701818E0,-1.935359538E-1,-5.271959305E-2,9.228515625E-2,2.207987114E-1
1.407706515E0,-2.677686810E-1,-9.010839462E-2,9.099864960E-2,2.968170203E-1
1.412680977E0,-2.641928792E-1,-8.704185486E-2,9.010314941E-2,2.923914148E-1
1.417685900E0,-2.606544495E-1,-8.399152756E-2,8.921337128E-2,2.880179584E-1
1.422690746E0,-2.569295168E-1,-8.058428764E-2,8.823013306E-2,2.833569487E-1
1.427695669E0,-1.775888801E-1,-1.912333965E-1,9.499168396E-2,2.777254801E-1
1.432700587E0,-1.743248403E-1,-1.870024204E-1,9.381389618E-2,2.723235251E-1
1.437705510E0,-1.333593577E-1,-1.824302673E-1,9.255790710E-2,2.441976390E-1
1.442679741E0,-1.303660274E-1,-1.778903008E-1,9.131336212E-2,2.387014669E-1
1.447684650E0,-1.649801433E-1,-1.733179092E-1,7.505607605E-2,2.507807008E-1
1.452689496E0,-1.240615845E-1,-1.311378479E-1,7.389831543E-2,1.950624846E-1
