"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.359591549E0,1.010839641E-1,2.292045355E-1,2.343559265E-2,2.515987160E-1
1.364596472E0,2.509555519E-1,1.852226257E-1,4.350662231E-3,3.119375552E-1
1.369616087E0,2.488612831E-1,1.802728176E-1,5.213737488E-3,3.073392426E-1
1.374606241E0,3.605191112E-1,1.756528616E-1,5.990028381E-3,4.010783436E-1
1.379611164E0,3.571182787E-1,1.710810661E-1,4.812240601E-3,3.960118103E-1
1.384585607E0,3.538507223E-1,2.052979469E-1,5.627632141E-3,4.091323147E-1
1.389604992E0,3.118900359E-1,2.005695105E-1,6.443977356E-3,3.708706619E-1
1.394595193E0,3.086572886E-1,1.960219145E-1,7.225036621E-3,3.657131579E-1
1.399600116E0,3.441892266E-1,2.292227745E-1,3.991127014E-3,4.135519716E-1
1.404604963E0,3.407356739E-1,2.245110273E-1,4.805564880E-3,4.080797647E-1
1.409624424E0,2.984806001E-1,1.821168661E-1,5.576133728E-3,3.496974619E-1
1.414584116E0,2.937781215E-1,1.748285294E-1,6.857872009E-3,3.419322005E-1
1.419589011E0,2.148853540E-1,1.319104433E-1,2.749633789E-2,2.536377910E-1
1.424593857E0,2.887614667E-1,1.697149277E-1,2.768230438E-2,3.360842920E-1
1.429613289E0,2.854233980E-1,1.656137705E-1,2.839851379E-2,3.312112811E-1
1.434603674E0,2.813238502E-1,2.366626263E-1,-1.362419128E-2,3.678830329E-1
1.439608597E0,2.772597671E-1,2.317318916E-1,-1.275539398E-2,3.615734339E-1
1.444582809E0,2.712384462E-1,1.482985020E-1,-1.144409180E-2,3.093439956E-1
1.449602424E0,2.662096024E-1,1.437695026E-1,-1.065731049E-2,3.027388322E-1
1.454592669E0,2.607651353E-1,6.294000149E-2,-9.096145630E-3,2.684075994E-1
1.459597592E0,1.828599870E-1,9.989428520E-2,-8.933067322E-3,2.085580081E-1
1.464602515E0,1.785763204E-1,9.580695629E-2,-8.209228516E-3,2.028197883E-1
